acteur_uid,prenom,nom,legislature,circ_num,circ_departement,groupe_libelle,groupe_libelle_abrev
PA793214,Audrey,Abadie-Amiel,17,2,Ariège,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
PA795228,Nadège,Abomangoli,17,10,Seine-Saint-Denis,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA794278,Xavier,Albertini,17,1,Marne,Horizons & Indépendants,HOR
PA793262,Laurent,Alexandre,17,2,Aveyron,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA793992,Henri,Alfandari,17,3,Indre-et-Loire,Horizons & Indépendants,HOR
PA841067,Alexandre,Allegret-Pilot,17,5,Gard,Union des droites pour la République,UDDPLR
PA840665,Marie-José,Allemand,17,1,Hautes-Alpes,Socialistes et apparentés,SOC
PA793432,Franck,Allisio,17,12,Bouches-du-Rhône,Rassemblement National,RN
PA841207,Charles,Alloncle,17,9,Hérault,Union des droites pour la République,UDDPLR
PA794906,Gabriel,Amard,17,6,Rhône,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA841495,Maxime,Amblard,17,1,Meuse,Rassemblement National,RN
PA794138,Ségolène,Amiot,17,3,Loire-Atlantique,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA610968,Pouria,Amirshahi,17,5,Paris,Écologiste et Social,ECOS
PA795588,Farida,Amrani,17,1,Essonne,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA721158,Pieyre-Alexandre,Anglade,17,4,Français établis hors de France,Ensemble pour la République,EPR
PA795084,Rodrigo,Arenas,17,10,Paris,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA795144,Antoine,Armand,17,2,Haute-Savoie,Ensemble pour la République,EPR
PA842105,Raphaël,Arnault,17,1,Vaucluse,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA793780,Christine,Arrighi,17,9,Haute-Garonne,Écologiste et Social,ECOS
PA722190,Gabriel,Attal,17,10,Hauts-de-Seine,Ensemble pour la République,EPR
PA588884,Clémentine,Autain,17,11,Seine-Saint-Denis,Écologiste et Social,ECOS
PA796118,Bénédicte,Auzanot,17,2,Vaucluse,Rassemblement National,RN
PA642764,Joël,Aviragnet,17,8,Haute-Garonne,Socialistes et apparentés,SOC
PA841701,Léa,Balage El Mariky,17,3,Paris,Écologiste et Social,ECOS
PA719558,Erwan,Balanant,17,8,Finistère,Les Démocrates,DEM
PA794562,Philippe,Ballard,17,2,Oise,Rassemblement National,RN
PA842279,Anchya,Bamana,17,2,Mayotte,Rassemblement National,RN
PA720256,Géraldine,Bannier,17,2,Mayenne,Les Démocrates,DEM
PA643143,Christian,Baptiste,17,2,Guadeloupe,Socialistes et apparentés,SOC
PA368,Michel,Barnier,17,2,Paris,Droite Républicaine,DR
PA793238,Christophe,Barthès,17,1,Aude,Rassemblement National,RN
PA840829,Fabrice,Barusseau,17,3,Charente-Maritime,Socialistes et apparentés,SOC
PA267763,Jean-Pierre,Bataille,17,15,Nord,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
PA335999,Delphine,Batho,17,2,Deux-Sèvres,Écologiste et Social,ECOS
PA342415,Marie-Noëlle,Battistel,17,4,Isère,Socialistes et apparentés,SOC
PA793374,Romain,Baubry,17,15,Bouches-du-Rhône,Rassemblement National,RN
PA606793,Laurent,Baumel,17,4,Indre-et-Loire,Socialistes et apparentés,SOC
PA642847,Thibault,Bazin,17,4,Meurthe-et-Moselle,Droite Républicaine,DR
PA718884,Valérie,Bazin-Malgras,17,2,Aube,Droite Républicaine,DR
PA793158,José,Beaurain,17,4,Aisne,Rassemblement National,RN
PA642935,Olivier,Becht,17,5,Haut-Rhin,Ensemble pour la République,EPR
PA720362,Belkhir,Belhaddad,17,1,Moselle,Socialistes et apparentés,SOC
PA795278,Béatrice,Bellamy,17,2,Vendée,Horizons & Indépendants,HOR
PA842211,Béatrice,Bellay,17,3,Martinique,Socialistes et apparentés,SOC
PA795362,Lisa,Belluco,17,1,Vienne,Écologiste et Social,ECOS
PA841657,Anaïs,Belouassa-Cherifi,17,1,Rhône,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA795454,Karim,Ben Cheikh,17,9,Français établis hors de France,Écologiste et Social,ECOS
PA796106,Édouard,Bénard,17,3,Seine-Maritime,Gauche Démocrate et Républicaine,GDR
PA841315,Karim,Benbrahim,17,1,Loire-Atlantique,Socialistes et apparentés,SOC
PA332228,Thierry,Benoit,17,6,Ille-et-Vilaine,Horizons & Indépendants,HOR
PA841531,Shéhérazade,Bentorki,17,8,Nord,null,null
PA794434,Christophe,Bentz,17,1,Haute-Marne,Rassemblement National,RN
PA805166,Anne,Bergantz,17,2,Yvelines,Les Démocrates,DEM
PA720430,Ugo,Bernalicis,17,2,Nord,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA841645,Théo,Bernhardt,17,8,Bas-Rhin,Rassemblement National,RN
PA687214,Sylvain,Berrios,17,1,Val-de-Marne,Horizons & Indépendants,HOR
PA719218,Hervé,Berville,17,2,Côtes-d'Armor,Ensemble pour la République,EPR
PA309643,Véronique,Besse,17,4,Vendée,Non inscrit,NI
PA793772,Christophe,Bex,17,7,Haute-Garonne,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA842001,Guillaume,Bigot,17,2,Territoire de Belfort,Rassemblement National,RN
PA720822,Bruno,Bilde,17,12,Pas-de-Calais,Rassemblement National,RN
PA795616,Carlos Martens,Bilongo,17,8,Val-d'Oise,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA840997,Benoît,Biteau,17,2,Charente-Maritime,Écologiste et Social,ECOS
PA720668,Emmanuel,Blairy,17,1,Pas-de-Calais,Rassemblement National,RN
PA794886,Sophie,Blanc,17,1,Pyrénées-Orientales,Rassemblement National,RN
PA842183,Benoît,Blanchard,17,4,Val-d'Oise,Horizons & Indépendants,HOR
PA719024,Christophe,Blanchet,17,4,Calvados,Les Démocrates,DEM
PA774954,Anne-Laure,Blin,17,3,Maine-et-Loire,Droite Républicaine,DR
PA840889,Matthieu,Bloch,17,3,Doubs,Union des droites pour la République,UDDPLR
PA796042,Frédéric,Boccaletti,17,7,Var,Rassemblement National,RN
PA720162,Philippe,Bolo,17,7,Maine-et-Loire,Les Démocrates,DEM
PA793444,Manuel,Bompard,17,4,Bouches-du-Rhône,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA569,Philippe,Bonnecarrère,17,1,Tarn,Non inscrit,NI
PA841885,Arnaud,Bonnet,17,8,Seine-et-Marne,Écologiste et Social,ECOS
PA841507,Nicolas,Bonnet,17,3,Puy-de-Dôme,Écologiste et Social,ECOS
PA719968,Sylvie,Bonnet,17,4,Loire,Droite Républicaine,DR
PA721410,Émilie,Bonnivard,17,3,Savoie,Droite Républicaine,DR
PA266793,Jean-Yves,Bony,17,2,Cantal,Droite Républicaine,DR
PA717161,Élisabeth,Borne,17,6,Calvados,Ensemble pour la République,EPR
PA642695,Éric,Bothorel,17,5,Côtes-d'Armor,Ensemble pour la République,EPR
PA721816,Ian,Boucard,17,1,Territoire de Belfort,Droite Républicaine,DR
PA606507,Florent,Boudié,17,10,Gironde,Ensemble pour la République,EPR
PA841487,Anthony,Boulogne,17,6,Meurthe-et-Moselle,Rassemblement National,RN
PA794094,Mickaël,Bouloux,17,8,Ille-et-Vilaine,Socialistes et apparentés,SOC
PA794938,Idir,Boumertit,17,14,Rhône,La France insoumise - Nouveau Front Populaire,LFI-NFP
PA841131,Manon,Bouquin,17,4,Hérault,Rassemblement National,RN
PA342240,Jean-Luc,Bourgeaux,17,7,Ille-et-Vilaine,Droite Républicaine,DR
