nom_groupe,abreviation,legislature,effectif,avg_participation_pct,median_participation_pct,total_votes_exprimes,scrutins_eligibles
Droite Républicaine,DR,17,49,25.1,23.6,13692,1137
Écologiste et Social,ECOS,17,38,32.4,31.2,13995,1137
Ensemble pour la République,EPR,17,91,28.7,25.6,29349,1137
Gauche Démocrate et Républicaine,GDR,17,17,16.2,16.1,3135,1137
Horizons & Indépendants,HOR,17,34,29.8,28.0,10845,1137
La France insoumise - Nouveau Front Populaire,LFI-NFP,17,71,35.4,33.1,28170,1137
Les Démocrates,DEM,17,36,31.8,31.4,12998,1137
"Libertés, Indépendants, Outre-mer et Territoires",LIOT,17,22,18.3,17.8,4589,1137
Non inscrit,NI,17,12,20.3,17.4,2535,1137
Rassemblement National,RN,17,122,40.3,40.1,54971,1137
Socialistes et apparentés,SOC,17,69,38.0,36.0,29354,1137
Union des droites pour la République,UDDPLR,17,17,28.8,31.3,5576,1137
